Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,feeling,place,,,,von
120,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주4.3평화공원,0.999,0.0000213,0.0000469,1
121,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 아침미소목장,0.00573,0.993,0.00107,0
122,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주레일바이크,0.00298,0.996,0.000472,0
123,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 서귀포잠수함,0.00621,0.99,0.00354,0
124,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 아날로그감귤밭,0.000261,0.999,0.0000398,1
125,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 피시픽리솜 요트투어,0.00579,0.21,0.783,0
126,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주레포츠랜드,0.000252,0.999,0.000039,0
127,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 월정리 카약 체험,0.0202,0.373,0.606,0
128,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주김녕미로공원,0.000234,0.999,0.0000334,0
129,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 에코랜드,0.000487,0.999,0.000134,0
130,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 테디베어박물관,0.0055,0.993,0.000675,0
131,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 아쿠아플라넷,0.00425,0.995,0.000228,0
132,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 수월봉 지질트레일,0.236,0.747,0.015,0
133,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 오설록티뮤지엄,0.999,0.000225,0.000341,0
134,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주유리의성,0.00459,0.995,0.000208,0
135,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주더마파크,0.00121,0.998,0.0000736,0
136,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 성산일출봉,0.00000483,0.0000046,0.999,0
137,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 사려니숲길,0.0000656,0.000139,0.997,0
138,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 협재 해수욕장,0.0000523,0.000139,0.998,0
